"","atopid","polity","s_wt_glo","maxmajpow","consultatop","nagatop","neutatop","defenseatop","offenseatop","secrecy","conditio","intcom","base","contrib","ecaid","milaid","organ1","specthrt","macowe","maconc","maconp","nmacowe","nmaconc","nmaconp","nmaroir","condother","speclength","condlength","renounceok","renounceproh","renouncecond","milcontact","commondef","lallycount","lsumcap","ldistance","compel","prob","deter","deterministic","unconditional","PotMilCapacity.score","Depth.score","Scope.score","indx"
"217",3155,0,0.995,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.693,-2.663,6.509,0,0,1,1,0,-0.975,-0.491,0.201,213
"218",3160,0,0.982,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.693,-2.63,5.829,0,0,1,1,1,-0.98,-0.505,1.888,214
"219",3165,0,0.987,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.693,-4.209,5.974,0,0,1,1,1,-1.154,-0.516,1.885,215
"220",3170,0,0.966,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.693,-3.314,6.509,0,0,1,1,1,-1.062,-0.482,1.913,216
"221",3175,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.693,-3.236,6.38,0,0,1,1,1,-1.026,-0.479,1.9,217
"222",3180,9.167,0.879,1,1,1,0,1,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.258,1.571,7.402,0,0,1,1,0,1.169,-0.18,0.114,218
"223",3185,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.693,-4.073,0,0,0,1,1,1,-1.136,-0.507,1.894,219
"224",3200,0,0.718,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.693,-1.207,0,0,0,1,1,1,0.779,-0.311,1.018,220
"225",3205,3,0.951,0,1,1,0,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3.091,-3.337,6.638,0,0,1,1,0,-0.971,1.656,-0.17,221
"226",3210,8,0.546,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.693,-0.05,8.849,0,1,1,0,0,1.057,-0.471,-0.183,222
"227",3215,10,0.703,1,1,1,0,1,0,0,1,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1.099,0.657,8.567,0,1,1,0,0,1.082,-0.148,-0.181,223
"228",3220,10,0.582,1,1,0,0,1,0,0,1,0,3,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.693,-0.382,8.544,0,0,1,1,0,0.977,1.229,-0.136,224
"229",3230,4.667,0.377,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1.099,-3.423,5.481,0,0,0,0,0,-0.966,0.108,-0.579,225
"230",3235,5,-0.164,1,1,0,0,1,0,0,0,0,3,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.693,-2.879,7.281,0,0,1,1,1,0.756,2.186,0.67,226
"231",3240,5.5,0.105,1,1,1,0,1,0,0,1,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.693,-1.143,8.632,0,1,1,0,0,0.982,0.403,-0.171,227
