"atopid","dem.prop","joint.democ","avg.democ","max.democ","min.democ","avg.democ.weight","max.threat","min.threat","mean.threat","maxcap.democ.min","maxcap.democ.max","maxcap.cons","maxcap.rec","maxcap.comp","maxcap.open","prop.open","prop.cons","maxcap.cont.std","maxcap.inc.std","maxcap.comp.lied","maxcap.open.lied","maxcap.lied","maxcap.poly"
2320,0,0,-8,-6,-10,-3.93287926417511,0.412497,0.35247099,0.382483995,-6,0,0,0,0,0,0,0,0,0,0,0,1,0.146
2325,0,0,-6,-3,-9,-3.94141021614159,0.214921,0.116699,0.16581,-9,0,0,0,0,0,0,0,0,0,0,0,0,0.111
2330,0.25,0,-3.25,8,-10,-1.20676290558475,0.45617598,0.37920299,0.41110874,-4,0,0,0,0,0,0.25,0.25,0,0,0,1,2,0.217
2335,0,0,-6.33333333333333,-1,-9,-2.71769702563092,0.52108598,0.30886,0.412322333333333,-9,0,0,0,0,0,0,0,0,0,0,0,1,0.06
2340,0,0,-10,-10,-10,-5,0.426731,0.426731,0.426731,-10,0,0,0,0,0,0,0,0,0,0,0,0,0.02
2345,0,0,-5,2,-9,-2.10964247878734,0.282599,0.262207,0.269004333333333,-9,0,0,0,0,0,0,0,0,0,0,0,0,0.302
2350,0.5,0,0.5,10,-9,0.279340795440427,0.49328402,0.480602,0.48694301,0,10,1,1,1,2,0.5,0.5,0,0,1,1,5,0.579
2355,0.666666666666667,0,3.66666666666667,10,-9,1.50204880186744,0.68879604,0.480602,0.554227353333333,0,10,1,1,1,2,0.666666666666667,0.666666666666667,0,0,1,1,6,0.762
2360,0.5,0,0.5,10,-9,-2.3722522830843,0.66308498,0.480602,0.57184349,-9,0,0,0,0,0,0.5,0.5,0,0,0,0,1,0.112
2365,0.5,0,-1,7,-9,-4.06925200532118,0.66308498,0.23232,0.44770249,-9,0,0,0,0,0,0.5,0.5,0,0,0,0,1,0.112
2370,0,0,-9,-9,-9,-4.5,0.70421398,0.490082,0.59714799,-9,0,0,0,0,0,0,0,0,0,0,0,1,0.11
2375,0,0,-6.5,-3,-10,-2.45312093289604,0.638253,0.569598,0.6039255,-3,0,0,0,0,0,0,0,0,0,0,0,1,0.147
2385,1,1,10,10,10,10,0.638623,0.638623,0.638623,10,10,1,1,1,2,1,1,0,0,1,1,6,0.738
2395,0,0,-4,1,-9,-3.06544020674946,0.621674,0.503905,0.5627895,-9,0,0,0,0,0,0,0.5,0,0,0,0,0,0.091
