"lambda","atopid","begyr","endyr","uncond.milsup","scope.index","latent.depth.mean","offense","defense","consul","neutral","nonagg","base","armred.rc","organ1","milaid.rc","us.mem","ussr.mem","ecaid","trade.dum","milcor.index","econagg.dum","fp.conc.index","econagg.index","num.mem","nonagg.only","wartime","asymm","asymm.cap","low.kap.sc","freq","avg.democ"
0.0284526400871676,3645,1970,1993,1,1,-0.746741878008569,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0.9916739,24,-7
0.0327491042260641,3650,1970,1992,1,1,-0.763944268262699,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,1,23,-7
-0.0578064078969466,3660,1971,1986,1,1,0.978019505435865,0,1,0,0,0,NA,NA,NA,NA,0,0,NA,NA,1,0,0,0,2,0,0,0,0,0.9725274,16,-7.5
0.0114464235324073,3680,1972,1996,1,1,-0.727624879130048,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,1,25,-7
0.0320195607177654,3695,1972,1990,1,1,-0.73972708114209,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0.9834847,19,-8
-0.0267025848678228,3700,1972,1979,1,1,0.00466289370650625,0,1,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,2,0,0,0,0,0.1689944,8,-7
-0.0663004938831776,3725,1974,1981,1,2,1.13707395253203,0,1,0,0,0,NA,NA,NA,1,0,0,NA,NA,2,0,0,0,2,0,0,0,0,0.1553425,8,-7
-0.0195737421995257,3730,1974,2016,1,3,1.22336322190121,0,1,0,0,0,3,0,3,1,0,0,0,0,4,0,0,0,2,0,0,1,1,0.1230068,43,1
-0.0185987603938778,3748,1975,1984,1,1,0.0109207624813053,0,1,0,0,0,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0,2,0,0,0,0,0.9578305,10,-8
-0.102100455152633,3750,1976,1981,0,3,1.36085016756967,0,1,1,0,0,3,0,3,1,1,0,1,0,4,1,0,1,2,0,0,0,1,0.2191736,6,5.5
-0.0466775441851179,3758,1976,1985,1,2,0.787825043391677,0,1,1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0.9641137,10,-6.5
0.037270040300268,3770,1977,1990,1,1,-0.731358189553921,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,1,14,-8
0.0380009967909189,3780,1977,1990,1,1,-0.715707984646666,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,1,14,-8
-0.0210069598162119,3785,1977,2000,1,2,0.972637048782338,0,1,1,0,1,0,0,3,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0.7958503,24,-6
0.0292730730610483,3790,1977,2011,1,2,-0.0298397007448624,0,1,0,0,0,3,0,0,1,0,0,0,0,2,0,1,0,2,0,0,1,1,-0.1030202,35,0
